idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
239,potseluev_1997,1985-1999,1997,739,0,570,70,3
240,potseluev_1997,1985-1999,1997,739,1,721,97,8
241,potseluev_1997,1985-1999,1997,739,2,610,83,11
242,potseluev_1997,1985-1999,1997,740,0,521,84,10
243,potseluev_1997,1985-1999,1997,740,1,584,82,4
244,potseluev_1997,1985-1999,1997,744,0,439,60,6
245,potseluev_1997,1985-1999,1997,744,1,813,103,8
246,potseluev_1997,1985-1999,1997,745,1,975,126,6
247,potseluev_1997,1985-1999,1997,748,0,677,99,3
248,potseluev_1997,1985-1999,1997,749,0,358,54,5
249,potseluev_1997,1985-1999,1997,751,1,220,26,2
250,potseluev_1997,1985-1999,1997,752,0,297,47,3
251,potseluev_1997,1985-1999,1997,752,3,111,19,6
252,potseluev_1997,1985-1999,1997,760,1,293,50,2
253,potseluev_1997,1985-1999,1997,761,0,401,54,9
254,potseluev_1997,1985-1999,1997,765,1,509,67,3
255,potseluev_1997,1985-1999,1997,766,0,1016,131,3
256,potseluev_1997,1985-1999,1997,767,0,639,81,6
257,potseluev_1997,1985-1999,1997,767,1,260,34,6
258,potseluev_1997,1985-1999,1997,768,0,858,126,2
259,potseluev_1997,1985-1999,1997,771,0,322,48,2
260,potseluev_1997,1985-1999,1997,775,1,785,117,3
261,potseluev_1997,1985-1999,1997,785,0,328,46,3
262,potseluev_1997,1985-1999,1997,799,2,143,23,3
263,potseluev_1997,1985-1999,1997,803,0,419,59,3
264,potseluev_1997,1985-1999,1997,804,0,616,94,3
265,potseluev_1997,1985-1999,1997,806,0,400,54,3
266,potseluev_1997,1985-1999,1997,807,1,623,73,2
267,potseluev_1997,1985-1999,1997,812,0,471,64,3
268,potseluev_1997,1985-1999,1997,821,0,454,68,5
269,potseluev_1997,1985-1999,1997,827,0,824,114,3
270,potseluev_1997,1985-1999,1997,832,0,367,58,2
271,potseluev_1997,1985-1999,1997,834,7,119,17,3
272,potseluev_1997,1985-1999,1997,840,0,424,62,3
273,potseluev_1997,1985-1999,1997,843,0,610,80,3
274,potseluev_1997,1985-1999,1997,854,0,1145,146,5
275,potseluev_1997,1985-1999,1997,863,1,905,136,3
276,potseluev_1997,1985-1999,1997,873,0,417,52,2
277,potseluev_1997,1985-1999,1997,878,0,1078,144,6
278,potseluev_1997,1985-1999,1997,879,0,660,96,6
279,potseluev_1997,1985-1999,1997,881,0,732,87,2
280,potseluev_1997,1985-1999,1997,882,0,630,76,2
281,potseluev_1997,1985-1999,1997,902,1,891,113,3
282,potseluev_1997,1985-1999,1997,904,0,496,65,3
283,potseluev_1997,1985-1999,1997,915,0,307,41,2
284,potseluev_1997,1985-1999,1997,923,0,747,96,7
285,potseluev_1997,1985-1999,1997,936,0,792,103,3
286,potseluev_1997,1985-1999,1997,941,2,96,18,3
287,potseluev_1997,1985-1999,1997,945,0,606,73,3
288,potseluev_1997,1985-1999,1997,945,1,232,29,3
289,potseluev_1997,1985-1999,1997,947,0,590,69,11
290,potseluev_1997,1985-1999,1997,948,0,294,51,4
291,potseluev_1997,1985-1999,1997,949,0,910,121,3
292,potseluev_1997,1985-1999,1997,950,0,716,89,12
293,potseluev_1997,1985-1999,1997,950,1,503,72,6
294,potseluev_1997,1985-1999,1997,953,0,1004,134,5
295,potseluev_1997,1985-1999,1997,953,1,96,16,4
296,potseluev_1997,1985-1999,1997,956,1,653,79,3
297,potseluev_1997,1985-1999,1997,956,2,729,91,11
298,potseluev_1997,1985-1999,1997,956,3,889,116,13
299,potseluev_1997,1985-1999,1997,957,0,759,96,9
300,potseluev_1997,1985-1999,1997,957,1,802,110,7
301,potseluev_1997,1985-1999,1997,959,0,747,96,3
302,potseluev_1997,1985-1999,1997,960,0,638,89,3
303,potseluev_1997,1985-1999,1997,960,1,678,89,3
304,potseluev_1997,1985-1999,1997,960,2,375,42,3
305,potseluev_1997,1985-1999,1997,962,0,682,91,4
306,potseluev_1997,1985-1999,1997,962,2,906,119,2
307,potseluev_1997,1985-1999,1997,963,2,716,93,3
308,potseluev_1997,1985-1999,1997,967,0,815,98,2
309,potseluev_1997,1985-1999,1997,968,0,459,54,5
310,potseluev_1997,1985-1999,1997,973,4,103,18,2
311,potseluev_1997,1985-1999,1997,988,0,595,77,2
312,potseluev_1997,1985-1999,1997,991,0,615,82,3
313,potseluev_1997,1985-1999,1997,997,0,858,107,3
314,potseluev_1997,1985-1999,1997,1005,0,913,120,2
315,potseluev_1997,1985-1999,1997,1033,3,1074,136,5
316,potseluev_1997,1985-1999,1997,1040,1,263,34,2
317,potseluev_1997,1985-1999,1997,1043,0,240,27,2
318,potseluev_1997,1985-1999,1997,1044,0,980,108,3
319,potseluev_1997,1985-1999,1997,1047,1,759,100,4
320,potseluev_1997,1985-1999,1997,1063,0,646,78,3
321,potseluev_1997,1985-1999,1997,1108,0,919,118,2
322,potseluev_1997,1985-1999,1997,1129,0,997,128,2
323,potseluev_1997,1985-1999,1997,1146,0,1101,185,6
324,potseluev_1997,1985-1999,1997,1151,0,819,100,2
325,potseluev_1997,1985-1999,1997,1165,0,733,105,4
326,potseluev_1997,1985-1999,1997,1170,0,788,106,4
327,potseluev_1997,1985-1999,1997,1187,0,437,63,4
328,potseluev_1997,1985-1999,1997,1189,1,263,31,3
329,potseluev_1997,1985-1999,1997,1258,2,136,20,2
330,potseluev_1997,1985-1999,1997,1284,0,789,120,8
331,potseluev_1997,1985-1999,1997,1292,0,386,51,3
332,potseluev_1997,1985-1999,1997,1299,0,106,16,3
333,potseluev_1997,1985-1999,1997,1301,0,248,43,3
334,potseluev_1997,1985-1999,1997,1320,0,439,82,2
335,potseluev_1997,1985-1999,1997,1327,0,390,75,12
336,potseluev_1997,1985-1999,1997,1329,0,114,22,2
337,potseluev_1997,1985-1999,1997,1333,0,613,108,12
338,potseluev_1997,1985-1999,1997,1345,1,285,16,2
339,potseluev_1997,1985-1999,1997,1347,0,349,21,2
340,potseluev_1997,1985-1999,1997,1352,1,435,26,2
